train/ent_coef_loss,train/critic_loss,time/episodes,time/total_timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_len_mean,train/ent_coef,train/n_updates,rollout/ep_rew_mean,train/actor_loss,rollout/success_rate
,,540,52736,,11,4793,95.86,,,-95.78,,0.08
-0.8246371038258076,0.3593030620831996,544,53344,0.0001,10,4950,95.86,0.8493840228766203,1664,-95.78,-16.86185896396637,0.08
,,548,53408,,10,4952,95.86,,,-95.78,,0.08
,,552,54080,,10,4966,95.86,,,-95.78,,0.08
,,556,54400,,10,4973,95.86,,,-95.78,,0.08
,,560,54528,,10,4976,95.86,,,-95.78,,0.08
,,564,55040,,11,4988,95.86,,,-95.78,,0.08
-0.8568638954311609,0.30493637965992093,568,55616,0.0001,10,5145,95.86,0.8439640384167433,1728,-95.78,-16.59072756767273,0.08
,,572,55808,,10,5150,94.78,,,-94.68,,0.1
,,576,56096,,10,5157,94.82,,,-94.72,,0.1
,,580,56544,,10,5168,94.56,,,-94.45,,0.11
,,584,56608,,10,5170,94.56,,,-94.45,,0.11
,,588,57216,,11,5183,93.37,,,-93.24,,0.13
-0.8890094682574272,0.2957734155934304,592,57600,0.0001,10,5335,93.37,0.8385797953233123,1792,-93.24,-16.34109142422676,0.13
,,596,57856,,10,5341,94.09,,,-93.97,,0.12
,,600,58464,,10,5354,93.71,,,-93.58,,0.13
,,604,58944,,10,5365,94.94,,,-94.83,,0.11
,,608,59232,,11,5373,94.94,,,-94.83,,0.11
-0.9216349702328444,0.2932888896903023,612,59584,0.0001,10,5524,95.08,0.8332301834598184,1856,-94.97,-16.090348303318024,0.11
,,616,59744,,10,5528,95.9,,,-95.81,,0.09
,,620,60416,,10,5543,95.9,,,-95.81,,0.09
,,624,60800,,10,5551,95.9,,,-95.81,,0.09
,,628,61056,,10,5558,96.42,,,-96.34,,0.08
-0.9537573400884867,0.29238833487033844,632,61568,0.0001,10,5713,95.87,0.827913667075336,1920,-95.78,-15.850355103611946,0.09
,,636,62112,,10,5725,95.87,,,-95.78,,0.09
,,640,62336,,10,5731,95.87,,,-95.78,,0.09
,,644,62656,,10,5739,95.87,,,-95.78,,0.09
,,648,62944,,10,5745,95.87,,,-95.78,,0.09
-0.9860697472468019,0.26004534494131804,652,63616,0.0001,10,5902,95.87,0.822632035240531,1984,-95.78,-15.615308746695518,0.09
,,656,64000,,10,5911,95.87,,,-95.78,,0.09
,,660,64256,,10,5917,95.87,,,-95.78,,0.09
,,664,64768,,10,5928,95.87,,,-95.78,,0.09
,,668,65312,,10,5941,95.87,,,-95.78,,0.09
,,672,65536,,11,5947,96.95,,,-96.88,,0.07
-1.0184414982795715,0.25435957789886743,676,65856,0.0001,10,6098,97.42,0.8173838388174772,2048,-97.36,-15.411959871649742,0.06
,,680,66144,,10,6105,97.38,,,-97.32,,0.06
,,684,66688,,10,6125,96.74,,,-96.67,,0.07
,,688,67200,,10,6136,97.93,,,-97.88,,0.05
,,692,67328,,10,6139,97.33,,,-97.27,,0.06
-1.0507088582962751,0.24043714860454202,696,67680,0.0001,10,6291,96.87,0.8121695145964622,2112,-96.8,-15.197855994105339,0.07
,,700,68064,,10,6300,97.25,,,-97.19,,0.06
,,704,68544,,10,6311,97.25,,,-97.19,,0.06
,,708,68992,,10,6321,97.25,,,-97.19,,0.06
,,712,69344,,10,6329,97.03,,,-96.97,,0.06
,,716,69408,,10,6331,97.03,,,-96.97,,0.06
-1.0830545239150524,0.22687092155683786,720,70240,0.0001,10,6492,97.03,0.8069881675764918,2176,-96.97,-14.98441568017006,0.06
,,724,70400,,10,6496,96.52,,,-96.44,,0.08
,,728,70656,,10,6503,96.52,,,-96.44,,0.08
,,732,71168,,10,6514,97.07,,,-97.0,,0.07
-1.115448610857129,0.22311191784683615,736,71712,0.0001,10,6670,97.07,0.8018401777371764,2240,-97.0,-14.752490371465683,0.07
,,740,72128,,10,6680,96.5,,,-96.42,,0.08
,,744,72448,,10,6688,96.5,,,-96.42,,0.08
,,748,72544,,10,6690,96.5,,,-96.42,,0.08
,,752,73216,,10,6705,96.5,,,-96.42,,0.08
,,756,73600,,10,6713,96.5,,,-96.42,,0.08
-1.1479320041835308,0.20043890562374145,760,73792,0.0001,10,6862,96.5,0.7967239171266556,2304,-96.42,-14.540663972496986,0.08
,,764,74368,,10,6874,96.5,,,-96.42,,0.08
,,768,74912,,10,6886,96.5,,,-96.42,,0.08
,,772,75328,,10,6896,96.5,,,-96.42,,0.08
,,776,75648,,10,6904,96.5,,,-96.42,,0.08
,,780,75744,,10,6906,96.86,,,-96.79,,0.07
-1.1799758654087782,0.20600574743002653,784,76416,0.0001,10,7064,97.5,0.7916407641023397,2368,-97.44,-14.342507019639015,0.06
,,788,76800,,10,7073,97.5,,,-97.44,,0.06
,,792,76992,,10,7078,98.1,,,-98.05,,0.05
,,796,77536,,10,7091,97.95,,,-97.9,,0.05
-1.212603272870183,0.2064824141561985,800,78016,0.0001,10,7245,97.95,0.7865901226177812,2432,-97.9,-14.165866181254387,0.05
,,804,78432,,10,7254,97.95,,,-97.9,,0.05
,,808,78784,,10,7263,97.95,,,-97.9,,0.05
,,812,78944,,10,7267,98.31,,,-98.27,,0.04
,,816,79520,,10,7279,97.81,,,-97.76,,0.05
-1.2445846479386091,0.19030046951957047,820,79936,0.0001,10,7433,97.76,0.7815714627504349,2496,-97.71,-13.955098107457161,0.05
,,824,80128,,10,7437,98.27,,,-98.24,,0.03
,,828,80640,,10,7449,98.27,,,-98.24,,0.03
,,832,81216,,10,7461,98.27,,,-98.24,,0.03
,,836,81632,,10,7471,98.27,,,-98.24,,0.03
-1.277265664190054,0.1825350762810558,840,81984,0.0001,10,7623,98.84,0.7765855044126511,2560,-98.82,-13.744977191090584,0.02
,,844,82144,,10,7627,98.47,,,-98.44,,0.03
,,848,82368,,10,7633,98.47,,,-98.44,,0.03
,,852,83008,,10,7647,98.38,,,-98.35,,0.03
,,856,83328,,10,7655,98.38,,,-98.35,,0.03
,,860,83808,,10,7666,98.34,,,-98.31,,0.03
-1.3094188459217548,0.17858006712049246,864,84416,0.0001,10,7823,98.34,0.7716307137161493,2624,-98.31,-13.544692426919937,0.03
,,868,84832,,10,7832,98.34,,,-98.31,,0.03
,,872,85184,,10,7841,98.34,,,-98.31,,0.03
,,876,85344,,10,7845,97.79,,,-97.75,,0.04
,,880,85408,,10,7846,97.79,,,-97.75,,0.04
-1.3417209852486849,0.17985708767082542,884,86176,0.0001,10,8007,97.79,0.766707967966795,2688,-97.75,-13.326996698975563,0.04
,,888,86400,,10,8013,97.79,,,-97.75,,0.04
,,892,87008,,10,8026,97.31,,,-97.26,,0.05
,,896,87424,,10,8035,97.92,,,-97.88,,0.04
,,900,87872,,10,8046,97.92,,,-97.88,,0.04
-1.373671118170023,0.18276476301252842,904,88192,0.0001,10,8197,97.78,0.7618175549432635,2752,-97.74,-13.108716994524002,0.04
,,908,88448,,10,8203,97.78,,,-97.74,,0.04
,,912,88544,,10,8206,97.78,,,-97.74,,0.04
,,916,89376,,10,8224,98.28,,,-98.25,,0.03
,,920,89600,,10,8230,98.33,,,-98.3,,0.03
,,924,90080,,10,8241,97.67,,,-97.63,,0.04
