time/episodes,train/ent_coef,train/ent_coef_loss,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/learning_rate,train/n_updates,train/actor_loss,rollout/ep_len_mean,rollout/success_rate,time/time_elapsed,train/critic_loss
472,,,-96.71,46848,29,,,,96.78,0.07,1592,
476,0.8658593166619539,-0.727247235365212,-96.06,47840,29,0.0001,1472,-16.874193787574768,96.14,0.08,1641,0.25883458193857223
480,,,-96.57,48000,29,,,,96.64,0.07,1645,
484,,,-96.57,48000,29,,,,96.64,0.07,1645,
488,,,-97.0,48224,29,,,,97.06,0.06,1650,
492,,,-97.5,48992,29,,,,97.55,0.05,1665,
496,0.86033602245152,-0.7596613178029656,-97.5,49504,29,0.0001,1536,-16.703311890363693,97.55,0.05,1705,0.2968084749300033
500,,,-97.5,49696,29,,,,97.55,0.05,1709,
504,,,-97.5,50048,29,,,,97.55,0.05,1717,
508,,,-97.5,51040,29,,,,97.55,0.05,1736,
512,,,-97.14,51200,29,,,,97.2,0.06,1740,
516,,,-97.14,51200,29,,,,97.2,0.06,1740,
520,0.8548470595851541,-0.7921043811365962,-96.67,51360,28,0.0001,1600,-16.54278203845024,96.74,0.07,1773,0.27083109656814486
524,,,-97.49,52064,29,,,,97.54,0.05,1786,
528,,,-97.68,52544,29,,,,97.72,0.04,1796,
532,,,-97.68,52896,29,,,,97.72,0.04,1803,
536,,,-97.68,53248,29,,,,97.72,0.04,1811,
540,0.8493925053626299,-0.8245178228244185,-97.68,54240,29,0.0001,1664,-16.360619455575943,97.72,0.04,1860,0.2971508266637102
544,,,-97.68,54400,29,,,,97.72,0.04,1864,
548,,,-97.68,54400,29,,,,97.72,0.04,1864,
552,,,-97.68,54560,29,,,,97.72,0.04,1867,
556,,,-97.12,54816,29,,,,97.17,0.05,1873,
560,0.8439724985510111,-0.8567462312057614,-97.12,55744,29,0.0001,1728,-16.17867101728916,97.17,0.05,1920,0.26318616792559624
564,,,-97.09,56000,29,,,,97.14,0.05,1926,
568,,,-96.52,56192,29,,,,96.58,0.06,1931,
572,,,-96.53,57216,29,,,,96.59,0.06,1951,
576,0.838588172569871,-0.8889125119894743,-96.89,57568,28,0.0001,1792,-15.982224076986313,96.95,0.06,1988,0.2754260163055733
580,,,-96.89,57600,28,,,,96.95,0.06,1989,
584,,,-96.89,57600,28,,,,96.95,0.06,1989,
588,,,-96.89,57824,28,,,,96.95,0.06,1994,
592,,,-96.89,58592,29,,,,96.95,0.06,2009,
596,,,-96.47,59104,29,,,,96.54,0.07,2020,
600,,,-96.47,59360,29,,,,96.54,0.07,2026,
604,0.8332383278757334,-0.9215331366285682,-96.47,60416,29,0.0001,1856,-15.808028638362885,96.54,0.07,2076,0.29425316175911576
608,,,-96.87,60768,29,,,,96.93,0.06,2084,
612,,,-96.87,60800,29,,,,96.93,0.06,2085,
616,,,-96.87,60800,29,,,,96.93,0.06,2085,
620,,,-97.34,61024,29,,,,97.39,0.05,2090,
624,0.8279215898364782,-0.9536494994536042,-97.34,61792,28,0.0001,1920,-15.623180344700813,97.39,0.05,2134,0.2819899577880278
628,,,-96.77,62208,29,,,,96.83,0.06,2143,
632,,,-96.77,62432,29,,,,96.83,0.06,2149,
636,,,-96.33,62848,29,,,,96.4,0.07,2158,
640,0.8226396543905139,-0.9859927538782358,-95.22,63616,28,0.0001,1984,-15.4284498244524,95.31,0.09,2202,0.24759824096690863
644,,,-94.18,63840,28,,,,94.29,0.11,2208,
648,,,-94.18,63968,28,,,,94.29,0.11,2210,
652,,,-94.18,64000,28,,,,94.29,0.11,2211,
656,,,-94.74,64288,28,,,,94.84,0.1,2218,
660,,,-94.74,65280,29,,,,94.84,0.1,2238,
664,0.8173912027850747,-1.0183591339737177,-94.77,65632,28,0.0001,2048,-15.218020886182785,94.87,0.1,2275,0.24937325879000127
668,,,-95.34,66048,28,,,,95.43,0.09,2284,
672,,,-96.07,66816,29,,,,96.15,0.08,2299,
676,,,-96.36,67040,29,,,,96.43,0.07,2304,
680,,,-96.36,67168,29,,,,96.43,0.07,2307,
684,,,-96.36,67200,29,,,,96.43,0.07,2308,
688,,,-96.36,67488,29,,,,96.43,0.07,2315,
692,0.8121766885742545,-1.0506311114877462,-96.36,68480,28,0.0001,2112,-15.035234823822975,96.43,0.07,2363,0.2031711443560198
696,,,-95.97,68704,29,,,,96.05,0.08,2368,
700,,,-95.51,68960,29,,,,95.6,0.09,2374,
704,,,-95.51,69440,29,,,,95.6,0.09,2384,
708,0.8069950742647052,-1.0830022525042295,-94.55,70016,28,0.0001,2176,-14.839315250515938,94.66,0.11,2425,0.23284180311020464
712,,,-94.42,70208,28,,,,94.53,0.11,2430,
716,,,-94.42,70368,28,,,,94.53,0.11,2433,
720,,,-94.42,70528,28,,,,94.53,0.11,2437,
724,,,-94.21,71392,29,,,,94.33,0.12,2454,
