train/ent_coef_loss,time/fps,train/n_updates,train/ent_coef,train/critic_loss,time/episodes,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/success_rate,train/actor_loss,rollout/ep_rew_mean,train/learning_rate
,33,,,,520,1543,97.88,51200,0.05,,-97.83,
,33,,,,524,1543,97.88,51200,0.05,,-97.83,
-0.7916173040866852,32,1600,0.8549122884869576,0.3075322344666347,528,1581,97.41,51520,0.06,-16.43746691942215,-97.35,0.0001
,32,,,,532,1591,97.71,52224,0.05,,-97.66,
,32,,,,536,1598,97.91,52704,0.05,,-97.86,
,33,,,,540,1602,97.85,52928,0.05,,-97.8,
-0.8239840185269713,32,1664,0.8494582679122686,0.3215820825425908,544,1645,97.85,53568,0.05,-16.279967188835144,-97.8,0.0001
,32,,,,548,1651,97.85,54016,0.05,,-97.8,
,32,,,,552,1657,97.85,54400,0.05,,-97.8,
,32,,,,556,1657,97.85,54400,0.05,,-97.8,
,32,,,,560,1662,97.85,54720,0.05,,-97.8,
-0.8562020361423492,32,1728,0.84403873141855,0.29673558310605586,564,1705,97.85,55424,0.05,-16.10952214896679,-97.8,0.0001
,32,,,,568,1712,96.97,55872,0.07,,-96.9,
,32,,,,572,1715,96.97,56032,0.07,,-96.9,
,32,,,,576,1722,96.97,56576,0.07,,-96.9,
,32,,,,580,1728,97.13,56992,0.06,,-97.07,
-0.8883493365719914,32,1792,0.8386548599228263,0.2629096743185073,584,1769,97.71,57504,0.05,-15.94220545887947,-97.66,0.0001
,32,,,,588,1771,97.3,57600,0.06,,-97.24,
,32,,,,592,1775,97.3,57888,0.06,,-97.24,
,32,,,,596,1782,97.3,58336,0.06,,-97.24,
,32,,,,600,1791,97.02,58976,0.07,,-96.95,
,32,,,,604,1794,97.02,59136,0.07,,-96.95,
-0.9209657534956932,32,1856,0.8333053411915898,0.289915460976772,608,1834,96.42,59584,0.08,-15.76289813220501,-96.34,0.0001
,32,,,,612,1842,96.88,60160,0.07,,-96.81,
,32,,,,616,1847,96.88,60480,0.07,,-96.81,
,32,,,,620,1852,96.33,60800,0.08,,-96.25,
,32,,,,624,1853,96.33,60896,0.08,,-96.25,
,32,,,,628,1860,96.8,61376,0.07,,-96.73,
-0.9530657147988677,32,1920,0.8279889831319451,0.27866025833645836,632,1899,95.76,61728,0.09,-15.587500259280205,-95.67,0.0001
,32,,,,636,1906,95.46,62176,0.09,,-95.37,
,32,,,,640,1910,95.52,62432,0.09,,-95.43,
,32,,,,644,1920,95.52,63104,0.09,,-95.43,
,32,,,,648,1924,95.38,63392,0.1,,-95.28,
-0.9853868465870619,32,1984,0.8227073177695274,0.2565013769781217,652,1966,95.38,63904,0.1,-15.396567046642303,-95.28,0.0001
,32,,,,656,1969,95.38,64096,0.1,,-95.28,
,32,,,,660,1976,95.38,64576,0.1,,-95.28,
,32,,,,664,1981,95.38,64928,0.1,,-95.28,
,32,,,,668,1988,96.26,65376,0.08,,-96.18,
-1.0177583079785109,32,2048,0.8174590412527323,0.25312645989470184,672,2026,96.26,65632,0.08,-15.198360949754715,-96.18,0.0001
,32,,,,676,2034,95.8,66176,0.09,,-95.71,
,32,,,,680,2040,95.8,66560,0.09,,-95.71,
,32,,,,684,2044,95.83,66880,0.09,,-95.74,
,32,,,,688,2049,95.83,67200,0.09,,-95.74,
-1.0500443316996098,32,2112,0.8122444553300738,0.20560821233084425,692,2091,96.24,67776,0.08,-15.013855800032616,-96.16,0.0001
,32,,,,696,2097,96.24,68128,0.08,,-96.16,
,32,,,,700,2102,95.96,68448,0.08,,-95.88,
,32,,,,704,2106,95.96,68736,0.08,,-95.88,
,32,,,,708,2112,96.56,69088,0.07,,-96.49,
-1.0824288222938776,32,2176,0.8070628698915243,0.2039010168518871,712,2154,96.56,69696,0.07,-14.811921551823616,-96.49,0.0001
,32,,,,716,2160,96.56,70080,0.07,,-96.49,
,32,,,,720,2164,97.11,70400,0.06,,-97.05,
,32,,,,724,2173,97.11,70976,0.06,,-97.05,
,32,,,,728,2178,97.11,71328,0.06,,-97.05,
,32,,,,732,2183,98.15,71648,0.04,,-98.11,
-1.1147937010973692,32,2240,0.8019145065918565,0.20795369427651167,736,2221,98.84,71936,0.03,-14.605547696352005,-98.81,0.0001
,32,,,,740,2226,98.84,72288,0.03,,-98.81,
,32,,,,744,2235,98.84,72896,0.03,,-98.81,
,32,,,,748,2240,98.48,73216,0.03,,-98.45,
,32,,,,752,2246,98.48,73600,0.03,,-98.45,
-1.1472770497202873,32,2304,0.7967978622764349,0.17418322165030986,756,2283,98.48,73920,0.03,-14.414575591683388,-98.45,0.0001
,32,,,,760,2292,98.48,74528,0.03,,-98.45,
,32,,,,764,2294,97.36,74688,0.05,,-97.31,
,32,,,,768,2300,97.36,75072,0.05,,-97.31,
,32,,,,772,2304,97.36,75328,0.05,,-97.31,
-1.1793387178331614,32,2368,0.7917142361402512,0.1646495081949979,776,2345,97.82,75904,0.04,-14.218087956309319,-97.78,0.0001
,32,,,,780,2349,97.82,76192,0.04,,-97.78,
,32,,,,784,2358,97.82,76800,0.04,,-97.78,
,32,,,,788,2362,97.36,77088,0.05,,-97.31,
,32,,,,792,2369,96.87,77536,0.06,,-96.81,
,32,,,,796,2373,96.87,77792,0.06,,-96.81,
-1.2119663674384356,32,2432,0.7866630787029862,0.17302795784780756,800,2410,97.43,78048,0.05,-14.022243365645409,-97.38,0.0001
,32,,,,804,2414,97.43,78336,0.05,,-97.38,
,32,,,,808,2425,97.43,79104,0.05,,-97.38,
,32,,,,812,2429,97.09,79360,0.06,,-97.03,
-1.2439044956117868,32,2496,0.7816440099850297,0.1584344108705409,816,2471,97.09,80000,0.06,-13.821512639522552,-97.03,0.0001
,32,,,,820,2474,97.09,80256,0.06,,-97.03,
,32,,,,824,2481,97.05,80672,0.06,,-96.99,
,32,,,,828,2485,97.05,80992,0.06,,-96.99,
,32,,,,832,2489,97.05,81248,0.06,,-96.99,
,32,,,,836,2494,97.05,81536,0.06,,-96.99,
-1.2765730153769255,32,2560,0.7766577200964093,0.16490851721027866,840,2537,97.05,82304,0.06,-13.626466915011406,-96.99,0.0001
,32,,,,844,2540,97.01,82496,0.06,,-96.95,
,32,,,,848,2550,97.51,83200,0.05,,-97.46,
,32,,,,852,2554,97.51,83456,0.05,,-97.46,
,32,,,,856,2560,97.51,83872,0.05,,-97.46,
-1.3087458219379187,32,2624,0.7717026025056839,0.1794011186575517,860,2597,96.89,84128,0.06,-13.41833370923996,-96.83,0.0001
,32,,,,864,2599,98.01,84288,0.04,,-97.97,
,32,,,,868,2605,98.01,84704,0.04,,-97.97,
,32,,,,872,2611,98.01,85088,0.04,,-97.97,
,32,,,,876,2619,98.01,85632,0.04,,-97.97,
-1.3410751577466726,32,2688,0.7667794171720743,0.16636896424461156,880,2663,98.01,86400,0.04,-13.214746579527855,-97.97,0.0001
,32,,,,884,2666,98.01,86656,0.04,,-97.97,
,32,,,,888,2672,98.47,87072,0.03,,-98.44,
,32,,,,892,2677,98.96,87328,0.02,,-98.94,
,32,,,,896,2679,98.96,87488,0.02,,-98.94,
,32,,,,900,2685,98.96,87904,0.02,,-98.94,
-1.3730458561331034,32,2752,0.7618884043768048,0.14129184663761407,904,2724,98.96,88288,0.02,-13.016409307718277,-98.94,0.0001
,32,,,,908,2732,98.34,88832,0.03,,-98.31,
,32,,,,912,2739,98.63,89344,0.02,,-98.61,
,32,,,,916,2744,98.63,89696,0.02,,-98.61,
-1.4052560850977898,32,2816,0.7570285815745592,0.14436275832122192,920,2784,98.63,90208,0.02,-12.80975517630577,-98.61,0.0001
,32,,,,924,2788,98.67,90432,0.02,,-98.65,
,32,,,,928,2792,98.67,90688,0.02,,-98.65,
,32,,,,932,2798,98.67,91104,0.02,,-98.65,
,32,,,,936,2804,98.67,91488,0.02,,-98.65,
,32,,,,940,2811,98.14,91968,0.03,,-98.11,
-1.4380462691187859,32,2880,0.7521996209397912,0.14834080199943855,944,2848,98.18,92224,0.03,-12.614245876669884,-98.15,0.0001
,32,,,,948,2856,98.18,92800,0.03,,-98.15,
,32,,,,952,2864,98.18,93376,0.03,,-98.15,
,32,,,,956,2867,97.68,93536,0.04,,-97.64,
,32,,,,960,2872,98.3,93888,0.03,,-98.27,
-1.4702652152627707,32,2944,0.747401031665504,0.13970190996769816,964,2910,98.3,94272,0.03,-12.414851561188698,-98.27,0.0001
,32,,,,968,2916,98.3,94656,0.03,,-98.27,
,32,,,,972,2923,97.68,95104,0.04,,-97.64,
,32,,,,976,2925,97.2,95232,0.05,,-97.15,
,32,,,,980,2936,97.2,96000,0.05,,-97.15,
,32,,,,984,2939,97.2,96256,0.05,,-97.15,
