time/episodes,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/ent_coef_loss,time/fps,train/learning_rate,train/critic_loss,train/n_updates,rollout/success_rate,train/actor_loss,rollout/ep_len_mean,train/ent_coef
592,-95.03,2466,58816,,23,,,,0.11,,95.14,
596,-95.56,2468,58944,,23,,,,0.1,,95.66,
600,-95.5,2472,59136,,23,,,,0.1,,95.6,
604,-95.5,2530,59424,-0.9219159176573157,23,0.0001,0.26794136338867247,1856,0.1,-15.887136057019234,95.6,0.8331262739375234
608,-95.5,2535,59712,,23,,,,0.1,,95.6,
612,-95.44,2553,60576,,23,,,,0.1,,95.54,
616,-95.02,2557,60736,,23,,,,0.11,,95.13,
620,-95.02,2560,60864,,23,,,,0.11,,95.13,
624,-95.6,2565,61120,,23,,,,0.1,,95.7,
628,-94.93,2629,62016,-0.9544179793447256,23,0.0001,0.3010047444840893,1920,0.11,-15.724805980920792,95.04,0.8278112048283219
632,-94.93,2632,62144,,23,,,,0.11,,95.04,
636,-95.31,2640,62560,,23,,,,0.1,,95.41,
640,-95.73,2648,62880,,23,,,,0.09,,95.82,
644,-95.83,2655,63200,,23,,,,0.09,,95.92,
648,-95.26,2727,63872,-0.9867105390876532,23,0.0001,0.2946706054499373,1984,0.1,-15.521705001592636,95.36,0.8225295217707753
652,-95.26,2729,64000,,23,,,,0.1,,95.36,
656,-95.26,2733,64160,,23,,,,0.1,,95.36,
660,-94.27,2739,64448,,23,,,,0.12,,94.39,
664,-94.27,2756,65216,,23,,,,0.12,,94.39,
668,-94.65,2761,65440,,23,,,,0.11,,94.76,
672,-94.14,2816,65856,-1.019195007160306,23,0.0001,0.28710632072761655,2048,0.12,-15.306679755449295,94.26,0.8172812694683671
676,-94.14,2821,66144,,23,,,,0.12,,94.26,
680,-94.14,2839,67040,,23,,,,0.12,,94.26,
684,-94.58,2843,67200,,23,,,,0.11,,94.69,
688,-94.58,2848,67360,,23,,,,0.11,,94.69,
692,-94.91,2900,67648,-1.0513821225613356,23,0.0001,0.2904680207138881,2112,0.1,-15.107986629009247,95.01,0.8120664684101939
696,-95.43,2915,68416,,23,,,,0.09,,95.52,
700,-95.21,2920,68640,,23,,,,0.1,,95.31,
704,-94.59,2926,68928,,23,,,,0.11,,94.7,
708,-94.59,2935,69344,,23,,,,0.11,,94.7,
712,-95.24,2995,69952,-1.0837570205330849,23,0.0001,0.2648611704353243,2176,0.1,-14.903093591332436,95.34,0.8068850133568048
716,-95.18,3003,70304,,23,,,,0.1,,95.28,
720,-95.18,3005,70400,,23,,,,0.1,,95.28,
724,-95.66,3011,70688,,23,,,,0.09,,95.75,
728,-96.33,3031,71616,,23,,,,0.08,,96.41,
732,-96.33,3081,71840,-1.1158940307796001,23,0.0001,0.2543137288885191,2240,0.08,-14.713520094752312,96.41,0.8017374034970999
736,-96.33,3087,72128,,23,,,,0.08,,96.41,
740,-96.33,3096,72544,,23,,,,0.08,,96.41,
744,-96.76,3108,73152,,23,,,,0.07,,96.83,
748,-96.76,3116,73472,,23,,,,0.07,,96.83,
752,-96.76,3119,73600,,23,,,,0.07,,96.83,
756,-96.76,3171,73856,-1.1481461450457573,23,0.0001,0.26083524618297815,2304,0.07,-14.49364349246025,96.83,0.7966229319572449
760,-97.75,3190,74816,,23,,,,0.05,,97.8,
764,-97.75,3195,75040,,23,,,,0.05,,97.8,
768,-97.75,3201,75328,,23,,,,0.05,,97.8,
772,-97.5,3210,75744,,23,,,,0.05,,97.55,
776,-97.5,3273,76000,-1.1804393492639065,23,0.0001,0.24764286319259554,2368,0.05,-14.323226287961006,97.55,0.7915411712601781
780,-97.5,3290,76640,,23,,,,0.05,,97.55,
784,-97.5,3294,76800,,23,,,,0.05,,97.55,
788,-97.5,3298,76960,,23,,,,0.05,,97.55,
792,-97.5,3363,77984,-1.2128092180937529,23,0.0001,0.21354975062422454,2432,0.05,-14.133426174521446,97.55,0.7864917470142245
796,-97.5,3368,78240,,23,,,,0.05,,97.55,
800,-97.72,3374,78528,,23,,,,0.04,,97.76,
804,-98.34,3385,78944,,23,,,,0.03,,98.37,
808,-98.34,3390,79200,,23,,,,0.03,,98.37,
812,-98.34,3403,79840,,23,,,,0.03,,98.37,
816,-98.82,3453,80000,-1.2455074023455381,23,0.0001,0.21410360897425562,2496,0.02,-13.923662334680557,98.84,0.7814740361645818
820,-98.37,3455,80096,,23,,,,0.03,,98.4,
824,-98.37,3464,80512,,23,,,,0.03,,98.4,
828,-98.34,3481,81408,,23,,,,0.03,,98.37,
832,-98.34,3489,81728,,23,,,,0.03,,98.37,
836,-97.78,3555,82112,-1.2775734178721905,23,0.0001,0.2160135933663696,2560,0.04,-13.712636098265648,97.82,0.7764882706105709
840,-97.78,3559,82336,,23,,,,0.04,,97.82,
844,-98.2,3570,82912,,23,,,,0.03,,98.23,
848,-98.2,3575,83136,,23,,,,0.03,,98.23,
852,-97.76,3578,83232,,23,,,,0.04,,97.8,
856,-97.76,3584,83456,,23,,,,0.04,,97.8,
860,-97.76,3660,84416,-1.3099110014736652,23,0.0001,0.21059949626214802,2624,0.04,-13.499564215540886,97.8,0.7715345099568367
864,-97.76,3671,84928,,23,,,,0.04,,97.8,
868,-97.76,3679,85312,,23,,,,0.04,,97.8,
872,-97.76,3686,85536,,23,,,,0.04,,97.8,
876,-98.52,3744,86112,-1.3421177081763744,22,0.0001,0.18467079603578895,2688,0.03,-13.282013446092606,98.55,0.7666122652590275
880,-98.52,3748,86336,,23,,,,0.03,,98.55,
884,-98.52,3752,86432,,23,,,,0.03,,98.55,
888,-97.98,3754,86560,,23,,,,0.04,,98.02,
892,-97.98,3774,87616,,23,,,,0.04,,98.02,
896,-97.98,3782,87968,,23,,,,0.04,,98.02,
900,-97.45,3836,88352,-1.3742894995957613,23,0.0001,0.17303060239646584,2752,0.05,-13.066852509975433,97.5,0.7617218336090446
904,-97.45,3839,88544,,23,,,,0.05,,97.5,
908,-97.45,3852,89152,,23,,,,0.05,,97.5,
912,-97.45,3860,89504,,23,,,,0.05,,97.5,
916,-97.45,3862,89600,,23,,,,0.05,,97.5,
920,-97.9,3866,89760,,23,,,,0.04,,97.94,
924,-97.53,3938,90688,-1.406825179234147,23,0.0001,0.17533357325010002,2816,0.05,-12.852888837456703,97.58,0.7568632122129202
928,-97.56,3946,91136,,23,,,,0.05,,97.61,
932,-97.13,3954,91424,,23,,,,0.06,,97.19,
936,-97.34,3961,91744,,23,,,,0.06,,97.4,
940,-97.34,3966,92000,,23,,,,0.06,,97.4,
944,-97.34,4025,92672,-1.4389790575951338,23,0.0001,0.1765465580392629,2880,0.06,-12.647616028785706,97.4,0.7520347088575363
948,-97.23,4027,92768,,23,,,,0.08,,97.31,
952,-97.67,4030,92896,,23,,,,0.07,,97.74,
956,-96.28,4035,93088,,23,,,,0.1,,96.38,
960,-96.22,4054,94016,,23,,,,0.1,,96.32,
964,-96.22,4110,94368,-1.4714538622647524,22,0.0001,0.1801804710412398,2944,0.1,-12.444426357746124,96.32,0.7472370155155659
968,-95.84,4122,94912,,23,,,,0.11,,95.95,
972,-95.84,4127,95136,,23,,,,0.11,,95.95,
