train/actor_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef_loss,rollout/success_rate,train/learning_rate,train/ent_coef,time/episodes,train/critic_loss,time/time_elapsed,time/total_timesteps,train/n_updates,time/fps
,95.44,-95.35,,0.09,,,480,,7381,46976,,6
-16.6211778819561,96.31,-96.24,-0.7268673861399293,0.07,0.0001,0.8659309446811676,484,0.34034108684863895,7688,47616,1472,6
,96.14,-96.07,,0.07,,,488,,7689,47680,,6
,96.14,-96.07,,0.07,,,492,,7696,48000,,6
,96.44,-96.38,,0.06,,,496,,7711,48992,,6
-16.490745961666107,96.44,-96.38,-0.7592854620888829,0.06,0.0001,0.8604074930772185,500,0.3403845471329987,8013,49376,1536,6
,96.44,-96.38,,0.06,,,504,,8016,49536,,6
,96.44,-96.38,,0.06,,,508,,8025,50048,,6
,96.44,-96.38,,0.06,,,512,,8028,50176,,6
,95.54,-95.46,,0.08,,,516,,8034,50432,,6
,95.54,-95.46,,0.08,,,520,,8041,50816,,6
,95.62,-95.54,,0.08,,,524,,8047,51200,,6
-16.34920683503151,96.11,-96.04,-0.7917171772569418,0.07,0.0001,0.8549183569848537,528,0.3190472312271595,8353,51808,1600,6
,96.11,-96.04,,0.07,,,532,,8364,52576,,6
,96.11,-96.04,,0.07,,,536,,8369,52736,,6
,96.55,-96.49,,0.06,,,540,,8377,53248,,6
-16.195122465491295,96.55,-96.49,-0.824112263508141,0.06,0.0001,0.8494637105613947,544,0.33830399496946484,8675,53376,1664,6
,96.55,-96.49,,0.06,,,548,,8680,53632,,6
,96.55,-96.49,,0.06,,,552,,8686,54016,,6
,96.55,-96.49,,0.06,,,556,,8693,54400,,6
,96.04,-95.97,,0.07,,,560,,8697,54656,,6
-16.029863640666008,96.54,-96.48,-0.8563406830653548,0.06,0.0001,0.8440435389056802,564,0.326521678827703,9009,55584,1728,6
,97.22,-97.17,,0.05,,,568,,9014,55904,,6
,97.12,-97.06,,0.06,,,572,,9020,56256,,6
,97.73,-97.68,,0.05,,,576,,9025,56512,,6
,97.73,-97.68,,0.05,,,580,,9030,56832,,6
,97.73,-97.68,,0.05,,,584,,9038,57216,,6
-15.855995953083038,98.36,-98.32,-0.8884886167943478,0.04,0.0001,0.8386590471491218,588,0.3151278122095391,9339,57600,1792,6
,98.36,-98.32,,0.04,,,592,,9344,57856,,6
,98.36,-98.32,,0.04,,,596,,9359,58784,,6
,98.36,-98.32,,0.04,,,600,,9365,59104,,6
-15.67845831811428,98.36,-98.32,-0.921130140312016,0.04,0.0001,0.8333091074600816,604,0.30071069940458983,9686,59456,1856,6
,98.36,-98.32,,0.04,,,608,,9691,59712,,6
,98.36,-98.32,,0.04,,,612,,9697,60032,,6
,99.26,-99.24,,0.02,,,616,,9704,60416,,6
,99.26,-99.24,,0.02,,,620,,9712,60800,,6
,99.26,-99.24,,0.02,,,624,,9717,61056,,6
-15.506374642252922,98.84,-98.81,-0.9532236531376839,0.03,0.0001,0.8279922856017947,628,0.2665447379113175,10039,61920,1920,6
,98.29,-98.25,,0.04,,,632,,10047,62272,,6
,98.29,-98.25,,0.04,,,636,,10051,62496,,6
,98.29,-98.25,,0.04,,,640,,10057,62848,,6
,97.82,-97.77,,0.05,,,644,,10063,63136,,6
-15.321189180016518,97.82,-97.77,-0.9855590583756566,0.05,0.0001,0.8227102467790246,648,0.24229756789281964,10379,63616,1984,6
,97.82,-97.77,,0.05,,,652,,10382,63680,,6
