time/episodes,rollout/ep_len_mean,train/ent_coef,train/critic_loss,time/total_timesteps,time/time_elapsed,train/actor_loss,train/ent_coef_loss,rollout/ep_rew_mean,time/fps,train/learning_rate,rollout/success_rate,train/n_updates
644,98.22,0.8226474691182375,0.2271794208791107,63680,2401,-15.489265948534012,-0.9859641529619694,-98.19,26,0.0001,0.03,1984
648,98.22,,,63968,2407,,,-98.19,26,,0.03,
652,98.22,,,64000,2408,,,-98.19,26,,0.03,
656,98.22,,,64320,2415,,,-98.19,26,,0.03,
660,97.73,,,64960,2428,,,-97.69,26,,0.04,
664,98.43,,,65504,2439,,,-98.4,26,,0.03,
668,98.43,0.8173990566283464,0.21749061672016978,65760,2480,-15.287418395280838,-1.0183376464992762,-98.4,26,0.0001,0.03,2048
672,98.12,,,66560,2496,,,-98.08,26,,0.04,
676,98.12,,,66816,2502,,,-98.08,26,,0.04,
680,98.12,,,67136,2509,,,-98.08,26,,0.04,
684,98.12,,,67200,2510,,,-98.08,26,,0.04,
688,98.12,,,67360,2514,,,-98.08,26,,0.04,
692,98.12,0.812184538692236,0.18068638280965388,68160,2566,-15.080105379223824,-1.0506032798439264,-98.08,26,0.0001,0.04,2112
696,97.44,,,68704,2577,,,-97.39,26,,0.05,
700,96.99,,,68960,2582,,,-96.93,26,,0.06,
704,96.37,,,69120,2586,,,-96.29,26,,0.08,
708,95.67,0.8070029830560088,0.2100205854512751,69728,2634,-14.861450344324112,-1.0829556304961443,-95.58,26,0.0001,0.09,2176
712,95.71,,,70016,2640,,,-95.62,26,,0.09,
716,95.27,,,70272,2646,,,-95.17,26,,0.1,
720,95.27,,,70400,2649,,,-95.17,26,,0.1,
724,94.99,,,71008,2661,,,-94.88,26,,0.11,
728,94.75,,,71552,2672,,,-94.63,26,,0.12,
732,95.28,0.8018548144027591,0.2027374180033803,72096,2719,-14.651185899972916,-1.1153496410697699,-95.17,26,0.0001,0.11,2240
736,95.28,,,72320,2724,,,-95.17,26,,0.11,
740,95.79,,,72928,2736,,,-95.69,26,,0.1,
744,95.79,,,73216,2743,,,-95.69,26,,0.1,
748,95.79,,,73472,2749,,,-95.69,26,,0.1,
752,95.79,,,73600,2752,,,-95.69,26,,0.1,
756,96.28,0.7967383321374655,0.19708408880978823,74208,2800,-14.438652232289314,-1.1478409096598625,-96.19,26,0.0001,0.09,2304
760,95.74,,,74688,2810,,,-95.64,26,,0.1,
764,95.19,,,75104,2819,,,-95.08,26,,0.11,
768,95.19,,,75360,2825,,,-95.08,26,,0.11,
772,95.5,,,75744,2833,,,-95.4,26,,0.1,
776,95.5,0.791654922068119,0.19856442755553871,76224,2879,-14.219428569078445,-1.1799013949930668,-95.4,26,0.0001,0.1,2368
780,95.5,,,76640,2888,,,-95.4,26,,0.1,
784,95.01,,,76800,2892,,,-94.9,26,,0.11,
788,95.01,,,77184,2900,,,-94.9,26,,0.11,
792,95.01,,,77760,2911,,,-94.9,26,,0.11,
796,95.69,0.7866039965301752,0.17517429997678846,78208,2957,-14.036011040210724,-1.2125264313071966,-95.59,26,0.0001,0.1,2432
800,96.14,,,78560,2964,,,-96.05,26,,0.09,
804,96.76,,,78944,2972,,,-96.69,26,,0.07,
808,97.46,,,79424,2982,,,-97.4,26,,0.06,
812,96.85,,,79776,2990,,,-96.78,26,,0.07,
816,97.29,0.7815850665792823,0.17548857419751585,79936,3030,-13.828146636486053,-1.2445241678506136,-97.23,26,0.0001,0.06,2496
820,97.29,,,80160,3036,,,-97.23,26,,0.06,
824,97.24,,,80896,3051,,,-97.18,26,,0.06,
828,97.41,,,81152,3057,,,-97.36,26,,0.05,
832,97.41,,,81760,3069,,,-97.36,26,,0.05,
836,97.41,0.7765988688915968,0.16912315844092518,81984,3111,-13.61401729285717,-1.2772221956402063,-97.36,26,0.0001,0.05,2560
840,97.41,,,82624,3124,,,-97.36,26,,0.05,
844,97.41,,,82976,3131,,,-97.36,26,,0.05,
848,97.41,,,83136,3135,,,-97.36,26,,0.05,
852,97.41,,,83360,3141,,,-97.36,26,,0.05,
856,97.41,0.7716437121853232,0.18761547526810318,84096,3192,-13.402500316500664,-1.309403883293271,-97.36,26,0.0001,0.05,2624
860,97.95,,,84352,3198,,,-97.91,26,,0.04,
864,98.5,,,84960,3210,,,-98.47,26,,0.03,
868,98.5,,,85184,3215,,,-98.47,26,,0.03,
872,98.5,,,85824,3228,,,-98.47,26,,0.03,
876,97.98,0.766720624640584,0.170393303851597,86080,3270,-13.203688368201256,-1.3416918702423573,-97.93,26,0.0001,0.05,2688
880,97.98,,,86336,3276,,,-97.93,26,,0.05,
884,98.47,,,86528,3280,,,-98.43,26,,0.04,
888,98.47,,,87008,3290,,,-98.43,26,,0.04,
892,97.64,,,87456,3299,,,-97.58,26,,0.06,
896,97.2,,,87808,3307,,,-97.13,26,,0.07,
900,97.2,0.7618299359455705,0.1677781044272706,88160,3350,-13.023588374257088,-1.3736533112823963,-97.13,26,0.0001,0.07,2752
904,95.89,,,88384,3355,,,-95.8,26,,0.09,
908,95.89,,,89024,3368,,,-95.8,26,,0.09,
912,96.5,,,89376,3376,,,-96.42,26,,0.08,
916,96.5,,,89600,3381,,,-96.42,26,,0.08,
920,96.5,,,89984,3389,,,-96.42,26,,0.08,
924,96.11,0.7569703198969364,0.15941028867382556,90496,3435,-12.85781480371952,-1.405897095799446,-96.02,26,0.0001,0.09,2816
928,96.46,,,90880,3444,,,-96.38,26,,0.08,
932,96.46,,,91360,3453,,,-96.38,26,,0.08,
936,96.46,,,91584,3458,,,-96.38,26,,0.08,
940,96.46,0.7521415716037154,0.1405903099803254,92224,3507,-12.651237174868584,-1.438717508688569,-96.38,26,0.0001,0.08,2880
944,96.46,,,92576,3515,,,-96.38,26,,0.08,
948,96.46,,,92800,3520,,,-96.38,26,,0.08,
