time/total_timesteps,time/episodes,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,train/n_updates,train/learning_rate,rollout/success_rate,time/time_elapsed,time/fps,train/ent_coef,train/actor_loss,train/ent_coef_loss
46048,460,97.59,0.23606596887111664,-97.53,1408,0.0001,0.06,2001,23,0.8714465303346515,-17.063108682632446,-0.6947924252599478
46176,464,97.59,,-97.53,,,0.06,2004,23,,,
46624,468,96.59,,-96.51,,,0.08,2012,23,,,
47200,472,96.11,0.21397498424630612,-96.02,1472,0.0001,0.09,2071,22,0.8658877350389957,-16.92253351211548,-0.7271100552752614
47744,476,95.6,,-95.5,,,0.1,2082,22,,,
47904,480,96.02,,-95.93,,,0.09,2086,22,,,
48000,484,96.02,,-95.93,,,0.09,2088,22,,,
48000,488,96.02,,-95.93,,,0.09,2088,22,,,
49216,492,96.02,0.24542594165541232,-95.93,1536,0.0001,0.09,2165,22,0.8603636659681797,-16.794371277093887,-0.7595780258998275
49344,496,96.02,,-95.93,,,0.09,2168,22,,,
49824,500,96.02,,-95.93,,,0.09,2177,22,,,
50048,504,95.65,,-95.56,,,0.09,2181,22,,,
50752,508,95.51,,-95.42,,,0.09,2192,23,,,
51040,512,95.51,,-95.42,,,0.09,2198,23,,,
51200,516,96.07,,-95.99,,,0.08,2202,23,,,
51200,520,96.07,,-95.99,,,0.08,2202,23,,,
51488,524,96.07,0.22589131875429302,-95.99,1600,0.0001,0.08,2254,22,0.8548751445487142,-16.655189514160156,-0.7915983367711306
52544,528,96.63,,-96.56,,,0.07,2271,23,,,
53024,532,96.59,,-96.52,,,0.07,2279,23,,,
53248,536,96.59,,-96.52,,,0.07,2283,23,,,
53888,540,96.01,0.2132729752920568,-95.93,1664,0.0001,0.08,2351,22,0.8494220664724708,-16.510267853736877,-0.8242488736286759
54144,544,96.0,,-95.91,,,0.09,2356,22,,,
54336,548,96.0,,-95.91,,,0.09,2360,23,,,
54400,552,96.0,,-95.91,,,0.09,2361,23,,,
54624,556,96.0,,-95.91,,,0.09,2366,23,,,
55648,560,94.72,0.20886084891390055,-94.61,1728,0.0001,0.11,2426,22,0.8440029695630074,-16.31973698735237,-0.8563899761065841
56000,564,94.72,,-94.61,,,0.11,2433,23,,,
56352,568,95.72,,-95.63,,,0.09,2439,23,,,
56800,572,96.34,,-96.27,,,0.07,2446,23,,,
57216,576,96.85,,-96.79,,,0.06,2453,23,,,
57472,580,96.85,0.21824148437008262,-96.79,1792,0.0001,0.06,2515,22,0.8386186193674803,-16.127200588583946,-0.888803455978632
57600,584,96.85,,-96.79,,,0.06,2518,22,,,
57824,588,96.85,,-96.79,,,0.06,2521,22,,,
58848,592,96.5,,-96.43,,,0.07,2539,23,,,
59200,596,96.5,,-96.43,,,0.07,2545,23,,,
59552,600,96.5,0.2452990165911615,-96.43,1856,0.0001,0.07,2598,22,0.8332689581438899,-15.928657531738281,-0.920891716144979
60000,604,97.24,,-97.18,,,0.06,2607,23,,,
60352,608,97.05,,-96.98,,,0.07,2613,23,,,
60640,612,97.04,,-96.97,,,0.07,2618,23,,,
60800,616,96.38,,-96.3,,,0.08,2621,23,,,
60800,620,96.38,,-96.3,,,0.08,2621,23,,,
61344,624,96.38,,-96.3,,,0.08,2630,23,,,
62112,628,96.38,0.20861845707986504,-96.3,1920,0.0001,0.08,2702,22,0.8279541460797191,-15.739919394254684,-0.953241172246635
62624,632,96.77,,-96.7,,,0.07,2710,23,,,
63200,636,96.77,,-96.7,,,0.07,2721,23,,,
63552,640,97.35,0.20900716248434037,-97.29,1984,0.0001,0.06,2778,22,0.8226726688444614,-15.536855354905128,-0.9857794484123588
63840,644,97.36,,-97.31,,,0.05,2783,22,,,
64000,648,97.36,,-97.31,,,0.05,2787,22,,,
64000,652,97.36,,-97.31,,,0.05,2787,22,,,
64544,656,97.36,,-97.31,,,0.05,2796,23,,,
65312,660,98.64,,-98.61,,,0.03,2809,23,,,
65824,664,98.64,0.19672639726195484,-98.61,2048,0.0001,0.03,2877,22,0.8174241073429585,-15.336912751197815,-1.018019873648882
66400,668,98.64,,-98.61,,,0.03,2887,22,,,
66720,672,98.06,,-98.02,,,0.04,2894,23,,,
67040,676,98.06,,-98.02,,,0.04,2901,23,,,
67136,680,98.06,,-98.02,,,0.04,2905,23,,,
67200,684,98.06,,-98.02,,,0.04,2906,23,,,
67488,688,98.06,,-98.02,,,0.04,2912,23,,,
68512,692,98.41,0.1896051337243989,-98.38,2112,0.0001,0.03,2983,22,0.8122089104726911,-15.1299939006567,-1.0503951199352741
68992,696,98.27,,-98.23,,,0.04,2990,23,,,
69248,700,97.94,,-97.89,,,0.05,2995,23,,,
69792,704,97.94,0.1639673929894343,-97.89,2176,0.0001,0.05,3061,22,0.8070275904610753,-14.921044871211052,-1.0826068054884672
70112,708,98.27,,-98.23,,,0.04,3068,22,,,
70336,712,98.28,,-98.24,,,0.04,3075,22,,,
70400,716,98.94,,-98.91,,,0.03,3076,22,,,
70688,720,98.94,,-98.91,,,0.03,3082,22,,,
71712,724,98.94,0.2028580131009221,-98.91,2240,0.0001,0.03,3156,22,0.8018794944509864,-14.694097861647606,-1.1148237250745296
72192,728,98.94,,-98.91,,,0.03,3165,22,,,
72448,732,98.95,,-98.92,,,0.03,3170,22,,,
72992,736,98.95,,-98.92,,,0.03,3180,22,,,
73216,740,98.42,,-98.38,,,0.04,3184,22,,,
73472,744,98.42,,-98.38,,,0.04,3189,23,,,
73600,748,98.42,,-98.38,,,0.04,3191,23,,,
73824,752,98.42,0.1756439080927521,-98.38,2304,0.0001,0.04,3251,22,0.7967640375718474,-14.50497230887413,-1.147278480231762
74912,756,98.42,,-98.38,,,0.04,3273,22,,,
75360,760,97.97,,-97.92,,,0.05,3281,22,,,
75648,764,97.97,,-97.92,,,0.05,3287,23,,,
76064,768,97.72,0.17352088482584804,-97.66,2368,0.0001,0.06,3351,22,0.7916813958436251,-14.3112932741642,-1.1794249005615711
76352,772,98.3,,-98.25,,,0.05,3356,22,,,
76640,776,98.3,,-98.25,,,0.05,3361,22,,,
76800,780,98.3,,-98.25,,,0.05,3364,22,,,
76864,784,97.57,,-97.51,,,0.06,3366,22,,,
78048,788,97.57,0.16512804036028683,-97.51,2432,0.0001,0.06,3441,22,0.7866309555247426,-14.101174473762512,-1.2119075171649456
78400,792,97.27,,-97.2,,,0.07,3448,22,,,
78624,796,97.41,,-97.35,,,0.06,3453,22,,,
79264,800,97.74,,-97.69,,,0.05,3466,22,,,
79520,804,97.18,,-97.12,,,0.06,3471,22,,,
79712,808,97.18,,-97.12,,,0.06,3477,22,,,
80000,812,97.18,0.19180202652933076,-97.12,2496,0.0001,0.06,3539,22,0.7816130435094237,-13.890970200300217,-1.244056310504675
80000,816,97.18,,-97.12,,,0.06,3539,22,,,
80544,820,97.18,,-97.12,,,0.06,3550,22,,,
81600,824,97.18,,-97.12,,,0.06,3592,22,,,
81824,828,96.84,,-96.77,,,0.07,3596,22,,,
82048,832,96.84,0.16772205056622624,-96.77,2560,0.0001,0.07,3646,22,0.7766267722472548,-13.692146226763725,-1.2764415759593248
82656,836,96.84,,-96.77,,,0.07,3656,22,,,
82816,840,97.37,,-97.31,,,0.06,3660,22,,,
83200,844,97.37,,-97.31,,,0.06,3666,22,,,
83200,848,97.37,,-97.31,,,0.06,3666,22,,,
83744,852,97.37,,-97.31,,,0.06,3677,22,,,
84800,856,97.37,0.18358664750121534,-97.31,2624,0.0001,0.06,3752,22,0.7716729128733277,-13.546782732009888,-1.3086698595434427
85024,860,97.82,,-97.77,,,0.05,3757,22,,,
85248,864,97.82,,-97.77,,,0.05,3760,22,,,
85856,868,98.07,,-98.03,,,0.04,3772,22,,,
86016,872,98.07,,-98.03,,,0.04,3777,22,,,
86400,876,98.07,0.1499886685051024,-98.03,2688,0.0001,0.04,3832,22,0.7667501727119088,-13.362967133522034,-1.3411063887178898
86400,880,98.07,,-98.03,,,0.04,3832,22,,,
86944,884,98.8,,-98.77,,,0.03,3841,22,,,
88000,888,98.8,,-98.77,,,0.03,3857,22,,,
88224,892,99.1,0.1513506512856111,-99.08,2752,0.0001,0.02,3919,22,0.7618587482720613,-13.202849641442299,-1.3734637573361397
88448,896,99.1,,-99.08,,,0.02,3923,22,,,
89056,900,99.1,,-99.08,,,0.02,3933,22,,,
89216,904,99.66,,-99.65,,,0.01,3937,22,,,
89568,908,99.15,,-99.13,,,0.02,3946,22,,,
89600,912,99.15,,-99.13,,,0.02,3947,22,,,
89888,916,99.15,,-99.13,,,0.02,3953,22,,,
91040,920,98.63,0.15563762793317437,-98.6,2816,0.0001,0.03,4024,22,0.7569985827431083,-13.002781629562378,-1.4057643171399832
91392,924,98.63,,-98.6,,,0.03,4029,22,,,
91648,928,98.97,,-98.95,,,0.02,4034,22,,,
92192,932,98.97,0.16943770507350564,-98.95,2880,0.0001,0.02,4100,22,0.752169600687921,-12.796145513653755,-1.4376576393842697
92384,936,98.97,,-98.95,,,0.02,4104,22,,,
92768,940,98.97,,-98.95,,,0.02,4114,22,,,
92800,944,98.97,,-98.95,,,0.02,4115,22,,,
93088,948,98.97,,-98.95,,,0.02,4120,22,,,
94144,952,98.12,,-98.09,,,0.03,4140,22,,,
94400,956,98.12,0.14511683804448694,-98.09,2944,0.0001,0.03,4199,22,0.7473721988499165,-12.584063991904259,-1.4703021422028542
94624,960,97.64,,-97.6,,,0.04,4203,22,,,
94976,964,97.32,,-97.27,,,0.05,4209,22,,,
95456,968,97.32,,-97.27,,,0.05,4219,22,,,
95616,972,97.32,,-97.27,,,0.05,4222,22,,,
96000,976,97.32,,-97.27,,,0.05,4229,22,,,
96288,980,97.32,0.1372725401306525,-97.27,3008,0.0001,0.05,4291,22,0.742604392580688,-12.38421431183815,-1.5029202681034803
97312,984,96.99,,-96.93,,,0.06,4310,22,,,
97600,988,96.49,,-96.42,,,0.07,4318,22,,,
97792,992,96.49,,-96.42,,,0.07,4322,22,,,
98048,996,96.49,,-96.42,,,0.07,4327,22,,,
98528,1000,96.2,0.14117381256073713,-96.12,3072,0.0001,0.08,4392,22,0.7378663439303637,-12.20379963517189,-1.5349001809954643
98752,1004,96.2,,-96.12,,,0.08,4397,22,,,
99136,1008,96.71,,-96.64,,,0.07,4403,22,,,
